==========================================
SLURM_CLUSTER_NAME = linux
SLURM_ARRAY_JOB_ID = 
SLURM_ARRAY_TASK_ID = 
SLURM_ARRAY_TASK_COUNT = 
SLURM_ARRAY_TASK_MAX = 
SLURM_ARRAY_TASK_MIN = 
SLURM_JOB_ACCOUNT = pgstudents
SLURM_JOB_ID = 24895
SLURM_JOB_NAME = kd_harness_all
SLURM_JOB_NODELIST = gpu02
SLURM_JOB_USER = user151
SLURM_JOB_UID = 4254
SLURM_JOB_PARTITION = gpu
SLURM_TASK_PID = 4379
SLURM_SUBMIT_DIR = /scratch-beegfs/datasets/user151/qwen-arabic-kd
SLURM_CPUS_ON_NODE = 192
SLURM_NTASKS = 1
SLURM_TASK_PID = 4379
==========================================
=== Running base_7b ===
hf ({'pretrained': 'Qwen/Qwen2.5-7B-Instruct', 'dtype': 'bfloat16', 'token': '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'}), gen_kwargs: ({}), limit: 100.0, num_fewshot: 0, batch_size: 1
|                 Tasks                 |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|---------------------------------------|------:|------|-----:|------|---|-----:|---|-----:|
|mmlu                                   |      2|none  |      |acc   |↑  |0.7375|±  |0.0056|
| - humanities                          |      2|none  |      |acc   |↑  |0.7523|±  |0.0115|
|  - formal_logic                       |      1|none  |     0|acc   |↑  |0.6100|±  |0.0490|
|  - high_school_european_history       |      1|none  |     0|acc   |↑  |0.8100|±  |0.0394|
|  - high_school_us_history             |      1|none  |     0|acc   |↑  |0.9400|±  |0.0239|
|  - high_school_world_history          |      1|none  |     0|acc   |↑  |0.8500|±  |0.0359|
|  - international_law                  |      1|none  |     0|acc   |↑  |0.8100|±  |0.0394|
|  - jurisprudence                      |      1|none  |     0|acc   |↑  |0.8000|±  |0.0402|
|  - logical_fallacies                  |      1|none  |     0|acc   |↑  |0.8400|±  |0.0368|
|  - moral_disputes                     |      1|none  |     0|acc   |↑  |0.7100|±  |0.0456|
|  - moral_scenarios                    |      1|none  |     0|acc   |↑  |0.4800|±  |0.0502|
|  - philosophy                         |      1|none  |     0|acc   |↑  |0.7800|±  |0.0416|
|  - prehistory                         |      1|none  |     0|acc   |↑  |0.8000|±  |0.0402|
|  - professional_law                   |      1|none  |     0|acc   |↑  |0.5500|±  |0.0500|
