line_id	genre	text
1     	interview	محمد درويش: احنا الان مسمرين
2     	comedy	يا مسهر قلبي معاك..
3     	play	ام بطة: سوق على مهلك سوق يا حبيبي!
4     	forum_novels	مابيك ولا ابي اشوفك خلاااص
5     	forum_novels	بالعكس ..
6     	forum_novels	صالح راح بيت اخوه يبي يدور عمر من امس فالليل وهو محد شكله مانام بالبيت
7     	folktales	وفي مره من المرات دخل ريلها وجاف اللي يسوونه الفروخ، تعجب من اللي يجوفه وقال حق مرته:
8     	drama	ما لك خاطر تشتري العنز؟
9     	forum_novels	جافت سلمان واقف ويا ابوها ويا العم عبدالله ماقدرت تستوعب شنو قاعد يصير وشلون وشسالفه ?
10    	cartoon	شكرا اختي
11    	cooking	علي: عقب ما حطينا الهريس
12    	drama	راشد: زين زين...
13    	forum_novels	راحو اول شي فطرو بمطعم في الفندق بعدين انطلقو لبرج فيينا كان يطل على نهر الدانوب المنظر كان روعه زين قعدت تصور بهالمناظر الحلوه طبيعه ولا احلى
14    	forum_novels	همس : لا لا شدعوه ماله داعي ..
15    	play	اني ما كان قصدي اشقه، اني اللا كنت بس امبي اجربه دويييه، لكن تستاهل هي عساها شق في رقبتها من بدال الفستان عجل اني اقول ليها سلفيني صفرية الضغط تقول ليي من حلاوة طباخش!
16    	forum_novels	امه : باروح اسوي لك شوربه وبارجع
17    	forum_novels	ماجد : شنو ..
18    	comedy	جسوم: ويش لك انا منو وين الحرامي؟
19    	forum_novels	و المعاناة ..
20    	forum_novels	*
21    	forum_novels	همس : يمه قولي لها تنام عندنا اليوم
22    	forum_novels	كفاية ما جاني منه ..
23    	drama	مصطفى: زويد اليوم يبين مايحطون فالاذاعة.
24    	drama	بو سعد: بس طال عمرك ، عاد هاذي اللي عندي آنا ، اما البيتين الباقين عند اخواني ، لزمن تروح لهم وتسمع منهم الله يسلمك
25    	forum_novels	زين ابتسمت له بحب تحس ان الي صار بالبحرين صار من الماضي نساها اياه بحنانه وطيبه بتحاول تبني معاه حياه خاليه من الانتقام بتحاول تخليه يعرف معنى الحب
26    	forum_novels	و بعدين اعمل الي يريحك ..
27    	play	العم/الخال حسن: بحكم خبرتي في الحيّاة، إذا قال كلام طويل حتى لو ما تفهم ليه قول ليه اي عدل وصفق ليه، فهمت؟
28    	interview	عماد: شيخ الحراس
29    	forum_novels	شهقت بصدمة
